institute_type,department,program,academic_year,semester,course_title,course_type,topics,tools_technologies,programming_languages,math_foundation,bloom_level,credits,project_required,generation_method,is_synthetic
NIT,AI,B.Tech,2024-2025,5,Introduction to Tokenization,Core,Tokenization;Transformers;CNN;Deployment,Python,Python,Logic,Apply,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,5,Applied Regression,Core,Regression;EDA;Data Pipelines;Dynamic Programming,SQL,Java,Probability,Analyze,3,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,1,Advanced Transformers,Elective,Transformers;Dynamic Programming;Normalization;Image Processing;Regression,Scikit-learn;Java;C++,Java,Linear Algebra,Understand,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2022-2023,6,Introduction to Tokenization,Elective,Tokenization;CNN;Deployment;Cloud Computing;Data Pipelines,HuggingFace,Python,Discrete Math,Create,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2019-2020,2,Advanced Arrays,Core,Arrays;SQL;Spark;Clustering;Normalization,Java;TensorFlow,Java,Linear Algebra,Understand,3,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2022-2023,8,Foundations of Embeddings,Elective,Embeddings;SQL;Classification,TensorFlow;AWS,Java,Linear Algebra,Create,4,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2021-2022,6,Introduction to CNN,Elective,CNN;Transformers;Normalization,Java;SQL;NLTK,Java,Linear Algebra,Create,6,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2021-2022,3,Introduction to Dynamic Programming,Core,Dynamic Programming;Classification;CNN,Pandas;Git,C++,Statistics,Analyze,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2019-2020,8,Introduction to Classification,Elective,Classification;Regression;SQL;CNN,Docker;C++;Scikit-learn,C++,Discrete Math,Understand,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2020-2021,5,Foundations of Graphs,Core,Graphs;HDFS;Data Pipelines;CNN;Indexing;Regression,Spark;NLTK,Java,Statistics,Understand,6,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2023-2024,6,Applied Cloud Computing,Core,Cloud Computing;Indexing;Neural Networks;HDFS;Tokenization;Graphs,Git;NLTK,Python,Discrete Math,Apply,4,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2021-2022,3,Foundations of Regression,Core,Regression;Linked Lists;Neural Networks;Transformers;Indexing,Spark;TensorFlow;C++,Python,Linear Algebra,Understand,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2024-2025,3,Advanced RNN,Core,RNN;Data Pipelines;CNN;Neural Networks;EDA,TensorFlow;Java;Git,C++,Logic,Analyze,4,No,job_reverse_mapping,True
IIT,DS,B.Tech,2024-2025,8,Foundations of RNN,Elective,RNN;Regression;Graphs;Classification;Dynamic Programming;Embeddings,Pandas,Java,Discrete Math,Understand,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2018-2019,8,Applied CNN,Core,CNN;EDA;Transformers;Dynamic Programming;Normalization,Git;HuggingFace;TensorFlow,Python,Discrete Math,Apply,3,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2024-2025,3,Foundations of CNN,Elective,CNN;Dynamic Programming;Classification;Trees,NLTK;HuggingFace,Java,Discrete Math,Apply,3,No,job_reverse_mapping,True
IIT,DS,B.Tech,2018-2019,1,Advanced Graphs,Core,Graphs;Neural Networks;Linked Lists;Trees;CNN;Arrays,HuggingFace,C++,Basic Math,Analyze,3,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,3,Foundations of Cloud Computing,Core,Cloud Computing;Transformers;Regression;Embeddings;Deployment,AWS;SQL;Git,Python,Linear Algebra,Apply,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2019-2020,1,Introduction to Classification,Core,Classification;Embeddings;EDA,TensorFlow;NLTK,C++,Probability,Create,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2019-2020,4,Applied Graphs,Core,Graphs;RNN;Deployment;Normalization;EDA;Embeddings,Docker,C++,Probability,Create,3,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2021-2022,5,Introduction to Spark,Elective,Spark;Visualization;CNN;Data Pipelines;Normalization;Clustering,PyTorch;Scikit-learn;Spark,C++,Discrete Math,Create,6,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,7,Advanced Embeddings,Core,Embeddings;Data Pipelines;Visualization;Trees;Graphs;Dynamic Programming,PyTorch;NLTK,Java,Linear Algebra,Analyze,3,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2022-2023,7,Applied Clustering,Elective,Clustering;Indexing;Visualization,Scikit-learn;HuggingFace,Java,Statistics,Create,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2022-2023,5,Foundations of Deployment,Core,Deployment;Normalization;Graphs;Neural Networks,Docker;SQL,Python,Discrete Math,Understand,4,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2023-2024,1,Foundations of SQL,Core,SQL;Spark;Data Pipelines;RNN,Scikit-learn,Python,Logic,Create,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,5,Introduction to Tokenization,Elective,Tokenization;Embeddings;Neural Networks;Image Processing;RNN;Data Pipelines,C++;HuggingFace;Spark,Java,Statistics,Create,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2018-2019,1,Introduction to Image Processing,Elective,Image Processing;Data Pipelines;Deployment;CNN,Python;Docker;PyTorch,Python,Discrete Math,Create,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2022-2023,8,Applied Image Processing,Elective,Image Processing;Regression;Embeddings;Linked Lists;SQL;Neural Networks,AWS;PyTorch,Java,Discrete Math,Understand,6,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2018-2019,3,Applied Transformers,Elective,Transformers;Visualization;Cloud Computing;Arrays;Deployment,TensorFlow;PyTorch;Java,Java,Discrete Math,Apply,3,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2019-2020,5,Applied EDA,Core,EDA;Trees;CNN,TensorFlow,Java,Basic Math,Create,6,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2022-2023,7,Foundations of Arrays,Elective,Arrays;EDA;Tokenization;Cloud Computing;RNN,AWS;PyTorch,C++,Basic Math,Apply,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2021-2022,6,Advanced Spark,Elective,Spark;CNN;Transformers;Indexing,Docker,Java,Discrete Math,Analyze,6,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2021-2022,4,Introduction to EDA,Elective,EDA;Cloud Computing;Graphs,TensorFlow;Scikit-learn;Java,C++,Probability,Understand,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2024-2025,5,Introduction to Indexing,Core,Indexing;Data Pipelines;Image Processing;RNN;Classification,PyTorch;Scikit-learn,C++,Basic Math,Apply,6,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2021-2022,4,Introduction to Neural Networks,Core,Neural Networks;HDFS;Image Processing;Spark;Indexing;Cloud Computing,OpenCV;C++;Git,C++,Linear Algebra,Analyze,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2021-2022,6,Applied HDFS,Core,HDFS;Classification;Indexing,Pandas;Scikit-learn,Java,Linear Algebra,Understand,3,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2019-2020,1,Advanced CNN,Elective,CNN;Normalization;Tokenization;Image Processing,PyTorch;OpenCV,C++,Discrete Math,Analyze,4,No,job_reverse_mapping,True
IIT,AI,B.Tech,2023-2024,3,Applied Visualization,Core,Visualization;Tokenization;Arrays,Pandas,Java,Probability,Understand,4,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2024-2025,3,Applied Graphs,Elective,Graphs;Cloud Computing;Visualization;Embeddings,Git,C++,Linear Algebra,Understand,4,No,job_reverse_mapping,True
NIT,AI,B.Tech,2020-2021,7,Introduction to Indexing,Elective,Indexing;Classification;Dynamic Programming;Graphs,SQL,Python,Discrete Math,Create,6,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2020-2021,2,Introduction to Image Processing,Elective,Image Processing;Indexing;Tokenization;Data Pipelines;Clustering,Spark;HuggingFace,Java,Discrete Math,Understand,6,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2023-2024,1,Advanced Neural Networks,Elective,Neural Networks;Image Processing;SQL;CNN,NLTK;TensorFlow;HuggingFace,Java,Discrete Math,Create,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,2,Foundations of CNN,Elective,CNN;Classification;Regression;Normalization,TensorFlow;HuggingFace;Pandas,C++,Statistics,Create,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2021-2022,6,Applied Graphs,Elective,Graphs;Regression;EDA;Neural Networks;Embeddings;Trees,PyTorch;AWS,Python,Discrete Math,Understand,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2023-2024,3,Advanced HDFS,Core,HDFS;Dynamic Programming;Arrays;SQL;Classification;CNN,AWS;Java,Python,Basic Math,Create,4,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2021-2022,8,Introduction to Neural Networks,Elective,Neural Networks;Regression;Data Pipelines;Cloud Computing,HuggingFace;Scikit-learn,C++,Statistics,Create,6,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2019-2020,1,Advanced Image Processing,Core,Image Processing;HDFS;Spark,SQL;Java;Docker,Java,Logic,Create,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2020-2021,3,Introduction to Transformers,Elective,Transformers;Regression;Cloud Computing,C++,Python,Statistics,Understand,3,No,job_reverse_mapping,True
IIT,DS,B.Tech,2023-2024,4,Advanced Neural Networks,Elective,Neural Networks;CNN;Visualization;Tokenization,Python;PyTorch,Python,Basic Math,Apply,4,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2019-2020,7,Introduction to Arrays,Core,Arrays;CNN;Neural Networks;Clustering,Docker;SQL;TensorFlow,C++,Statistics,Apply,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2023-2024,7,Foundations of EDA,Elective,EDA;SQL;Indexing;Visualization,Scikit-learn;Java;Pandas,C++,Statistics,Analyze,6,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2023-2024,1,Advanced Neural Networks,Core,Neural Networks;Embeddings;Spark,Scikit-learn;PyTorch,Python,Linear Algebra,Analyze,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2022-2023,8,Foundations of Normalization,Core,Normalization;Dynamic Programming;Trees;RNN;EDA,PyTorch;Python;Scikit-learn,Python,Statistics,Analyze,6,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2020-2021,7,Introduction to Neural Networks,Core,Neural Networks;Spark;Deployment;Embeddings;RNN,Spark;Python,Python,Logic,Create,3,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2019-2020,3,Introduction to Clustering,Core,Clustering;Regression;Linked Lists,Scikit-learn;Python,Python,Statistics,Understand,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2020-2021,8,Advanced Tokenization,Elective,Tokenization;Graphs;Dynamic Programming;Visualization;Transformers;Trees,Pandas,Python,Basic Math,Apply,6,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2018-2019,3,Foundations of Trees,Elective,Trees;Clustering;Tokenization;Data Pipelines;Graphs;RNN,Scikit-learn,Java,Logic,Understand,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2019-2020,1,Foundations of Normalization,Elective,Normalization;EDA;Data Pipelines,Docker;OpenCV,C++,Basic Math,Create,4,No,job_reverse_mapping,True
IIT,DS,B.Tech,2023-2024,3,Introduction to Linked Lists,Core,Linked Lists;HDFS;CNN;RNN,NLTK,Java,Probability,Apply,3,No,job_reverse_mapping,True
NIT,DS,B.Tech,2024-2025,7,Advanced Arrays,Core,Arrays;Classification;Regression,HuggingFace;PyTorch,Java,Statistics,Create,6,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2024-2025,5,Introduction to Transformers,Elective,Transformers;Data Pipelines;Graphs;Embeddings,Docker,Python,Logic,Create,3,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2024-2025,7,Advanced Spark,Core,Spark;Regression;Indexing;HDFS;Trees,Git,Java,Logic,Understand,4,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2021-2022,7,Introduction to Tokenization,Elective,Tokenization;CNN;Dynamic Programming,OpenCV,Python,Discrete Math,Understand,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2022-2023,2,Foundations of Indexing,Core,Indexing;Graphs;Normalization;Data Pipelines;Cloud Computing;Neural Networks,Scikit-learn;AWS,Python,Basic Math,Create,3,No,job_reverse_mapping,True
NIT,DS,B.Tech,2024-2025,3,Applied Linked Lists,Elective,Linked Lists;Trees;Indexing;CNN;RNN;Cloud Computing,Docker;HuggingFace;OpenCV,C++,Linear Algebra,Apply,3,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2023-2024,5,Advanced Indexing,Elective,Indexing;Image Processing;Arrays,PyTorch,Java,Basic Math,Create,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2023-2024,8,Advanced Spark,Core,Spark;Transformers;EDA;Data Pipelines;SQL,Java;Python,Python,Discrete Math,Apply,3,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,8,Advanced HDFS,Elective,HDFS;Clustering;Indexing;Image Processing,Java,Java,Discrete Math,Understand,3,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,8,Applied Tokenization,Core,Tokenization;Arrays;Normalization;Cloud Computing;Clustering;Classification,AWS;Pandas,C++,Basic Math,Create,4,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2024-2025,8,Foundations of Linked Lists,Core,Linked Lists;Tokenization;SQL;Embeddings;Cloud Computing,AWS;OpenCV;Docker,Java,Logic,Analyze,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2018-2019,5,Applied Tokenization,Core,Tokenization;Graphs;Deployment;Spark;HDFS;Transformers,NLTK;PyTorch,Java,Probability,Create,3,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2022-2023,4,Applied Spark,Elective,Spark;EDA;Data Pipelines;Normalization;Dynamic Programming,NLTK;Spark,C++,Logic,Apply,4,No,job_reverse_mapping,True
NIT,AI,B.Tech,2023-2024,2,Applied Dynamic Programming,Core,Dynamic Programming;Regression;Classification;Visualization;Spark;Tokenization,HuggingFace,C++,Logic,Understand,3,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2020-2021,5,Foundations of Data Pipelines,Core,Data Pipelines;Regression;Embeddings;Linked Lists;Trees,PyTorch;Java,Java,Probability,Analyze,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2024-2025,1,Introduction to Dynamic Programming,Core,Dynamic Programming;EDA;Embeddings;Spark;Data Pipelines,NLTK,C++,Logic,Understand,6,No,job_reverse_mapping,True
NIT,DS,B.Tech,2018-2019,2,Introduction to HDFS,Elective,HDFS;Graphs;Classification;Transformers,NLTK,Python,Discrete Math,Apply,6,No,job_reverse_mapping,True
NIT,AI,B.Tech,2020-2021,6,Applied Graphs,Core,Graphs;Classification;Normalization;Indexing,SQL,C++,Probability,Analyze,6,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2024-2025,7,Introduction to HDFS,Elective,HDFS;Data Pipelines;Clustering;Dynamic Programming;Deployment,PyTorch;HuggingFace;SQL,Java,Logic,Analyze,3,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2021-2022,3,Advanced EDA,Elective,EDA;Embeddings;Trees,TensorFlow,C++,Statistics,Understand,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2023-2024,3,Applied HDFS,Elective,HDFS;EDA;Data Pipelines,Scikit-learn;PyTorch;Pandas,Java,Discrete Math,Analyze,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2022-2023,3,Advanced Normalization,Elective,Normalization;HDFS;Classification;Image Processing;Spark;Visualization,Docker;NLTK;TensorFlow,C++,Discrete Math,Analyze,4,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2023-2024,3,Foundations of Classification,Elective,Classification;Trees;Embeddings;Image Processing;CNN,TensorFlow;HuggingFace;OpenCV,C++,Probability,Create,6,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,1,Introduction to Neural Networks,Elective,Neural Networks;HDFS;Embeddings;Transformers;Graphs,HuggingFace,Python,Basic Math,Understand,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2020-2021,4,Advanced Transformers,Core,Transformers;CNN;Data Pipelines;EDA,OpenCV;Python;NLTK,Python,Probability,Apply,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2021-2022,2,Introduction to EDA,Core,EDA;Indexing;Trees;Linked Lists,Spark;Python,Python,Probability,Create,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2022-2023,7,Advanced Cloud Computing,Core,Cloud Computing;Tokenization;HDFS;Indexing;Normalization,Spark;Docker;NLTK,Java,Basic Math,Create,3,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2023-2024,2,Introduction to Normalization,Core,Normalization;Tokenization;Linked Lists;Visualization,Git,C++,Probability,Analyze,3,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,3,Introduction to Transformers,Core,Transformers;CNN;Tokenization,HuggingFace,Java,Probability,Apply,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2024-2025,8,Introduction to Graphs,Elective,Graphs;Image Processing;Transformers,Pandas,Python,Statistics,Analyze,4,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2021-2022,3,Applied Embeddings,Core,Embeddings;HDFS;Normalization;Deployment,OpenCV;Docker,Python,Basic Math,Create,4,No,job_reverse_mapping,True
IIT,DS,B.Tech,2019-2020,7,Foundations of Image Processing,Elective,Image Processing;Linked Lists;Data Pipelines;Normalization;Visualization,OpenCV;Java,Python,Basic Math,Understand,6,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2022-2023,2,Introduction to Spark,Core,Spark;Image Processing;Cloud Computing;Deployment,AWS,C++,Basic Math,Apply,3,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2020-2021,4,Introduction to EDA,Core,EDA;Cloud Computing;Normalization;Trees,AWS;TensorFlow;PyTorch,Java,Statistics,Apply,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2018-2019,6,Advanced Neural Networks,Elective,Neural Networks;Trees;Graphs;EDA;Image Processing;Regression,Python;Spark,Python,Statistics,Apply,3,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2022-2023,6,Applied Arrays,Elective,Arrays;EDA;Linked Lists;CNN,Java;TensorFlow,Java,Discrete Math,Understand,3,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,4,Introduction to Embeddings,Core,Embeddings;Deployment;SQL;Graphs;Neural Networks;Linked Lists,Docker;Git,Java,Basic Math,Apply,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2020-2021,2,Advanced Deployment,Core,Deployment;Image Processing;HDFS;Dynamic Programming,AWS;PyTorch,Java,Logic,Apply,3,No,job_reverse_mapping,True
NIT,AI,B.Tech,2022-2023,7,Applied Linked Lists,Elective,Linked Lists;Arrays;Normalization;Spark;CNN;Regression,C++,Java,Basic Math,Apply,6,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2024-2025,5,Foundations of Regression,Core,Regression;Visualization;Image Processing,Java;Scikit-learn;Spark,Python,Logic,Analyze,4,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,6,Advanced HDFS,Elective,HDFS;Neural Networks;Deployment;EDA;Normalization,SQL;OpenCV,Python,Probability,Understand,6,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2019-2020,1,Foundations of Arrays,Core,Arrays;Deployment;Data Pipelines;Regression;Indexing;Image Processing,NLTK;Docker;HuggingFace,Python,Discrete Math,Create,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2018-2019,6,Advanced Spark,Core,Spark;Transformers;SQL;Regression;Arrays;Graphs,TensorFlow;SQL,Java,Basic Math,Analyze,3,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2018-2019,5,Advanced Clustering,Core,Clustering;Tokenization;Transformers;Linked Lists,Docker;NLTK,C++,Basic Math,Create,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2024-2025,5,Foundations of Regression,Core,Regression;Image Processing;Classification;Data Pipelines;Cloud Computing;Spark,Python;Java;AWS,Python,Probability,Apply,6,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2023-2024,5,Introduction to Data Pipelines,Core,Data Pipelines;Arrays;EDA;Image Processing,Scikit-learn;OpenCV;Git,Java,Statistics,Create,4,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2018-2019,8,Introduction to Transformers,Core,Transformers;Embeddings;Linked Lists;Clustering;EDA;Neural Networks,Git;Docker,Java,Discrete Math,Understand,6,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2019-2020,7,Foundations of Clustering,Core,Clustering;Classification;Regression,Scikit-learn;Java,Java,Statistics,Understand,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2024-2025,6,Introduction to Clustering,Core,Clustering;Graphs;Tokenization;RNN;Linked Lists,Git;HuggingFace,Python,Statistics,Understand,3,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2018-2019,1,Introduction to RNN,Core,RNN;EDA;Trees;Dynamic Programming;Linked Lists;Normalization,Scikit-learn,C++,Basic Math,Understand,6,No,job_reverse_mapping,True
NIT,AI,B.Tech,2018-2019,5,Introduction to SQL,Core,SQL;Graphs;Spark;Indexing;Clustering;EDA,AWS;C++;Docker,Java,Basic Math,Understand,4,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2022-2023,6,Advanced Graphs,Elective,Graphs;Arrays;Spark;EDA,AWS,Java,Statistics,Create,6,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2022-2023,8,Advanced Clustering,Core,Clustering;Dynamic Programming;Linked Lists;CNN,PyTorch;Git;OpenCV,Java,Probability,Analyze,4,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2020-2021,1,Advanced Linked Lists,Core,Linked Lists;Clustering;Embeddings;Image Processing,PyTorch,C++,Probability,Apply,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2021-2022,8,Introduction to Cloud Computing,Core,Cloud Computing;RNN;Spark;CNN;Indexing,Python;Java,Python,Discrete Math,Apply,6,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,8,Introduction to Clustering,Core,Clustering;Tokenization;Visualization;Deployment,HuggingFace;NLTK,C++,Probability,Understand,3,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,1,Foundations of Dynamic Programming,Core,Dynamic Programming;CNN;Normalization,OpenCV,C++,Linear Algebra,Analyze,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2019-2020,5,Foundations of RNN,Core,RNN;Image Processing;Clustering;Regression,C++,Python,Linear Algebra,Create,6,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2024-2025,2,Introduction to Classification,Core,Classification;CNN;Normalization;Clustering;Transformers,OpenCV;Python,Python,Discrete Math,Apply,3,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,4,Foundations of Image Processing,Core,Image Processing;SQL;EDA;Transformers,AWS;PyTorch,Python,Probability,Apply,4,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2019-2020,1,Foundations of Dynamic Programming,Core,Dynamic Programming;Embeddings;Cloud Computing;Tokenization;Classification,Java;HuggingFace;Docker,Python,Statistics,Analyze,4,No,job_reverse_mapping,True
NIT,AI,B.Tech,2022-2023,8,Introduction to RNN,Core,RNN;EDA;Transformers;Embeddings,Docker;NLTK;Spark,C++,Linear Algebra,Apply,4,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2024-2025,4,Foundations of Classification,Elective,Classification;CNN;Indexing;SQL;Cloud Computing;Regression,Scikit-learn;Git,Java,Logic,Analyze,3,No,job_reverse_mapping,True
NIT,AI,B.Tech,2022-2023,1,Applied Embeddings,Elective,Embeddings;Spark;RNN;Indexing;Normalization;HDFS,PyTorch;TensorFlow,C++,Linear Algebra,Create,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2020-2021,2,Foundations of Trees,Core,Trees;CNN;Embeddings;Image Processing;HDFS,HuggingFace,C++,Probability,Understand,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,6,Advanced Data Pipelines,Elective,Data Pipelines;RNN;Neural Networks;CNN,Pandas;HuggingFace;OpenCV,C++,Probability,Analyze,4,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2024-2025,7,Advanced Cloud Computing,Core,Cloud Computing;HDFS;Arrays;Tokenization;Visualization;Embeddings,Pandas,Java,Linear Algebra,Create,6,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2024-2025,8,Foundations of Trees,Elective,Trees;RNN;Classification;Indexing;Deployment,PyTorch;SQL;Docker,C++,Logic,Apply,4,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2023-2024,1,Applied Data Pipelines,Elective,Data Pipelines;Transformers;RNN;Clustering;Indexing;HDFS,HuggingFace;PyTorch;Spark,Python,Discrete Math,Understand,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2019-2020,6,Introduction to SQL,Elective,SQL;Classification;Deployment;Trees;Image Processing;EDA,Docker,C++,Linear Algebra,Understand,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,3,Introduction to EDA,Elective,EDA;Spark;Tokenization,Python,Python,Linear Algebra,Apply,4,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2023-2024,2,Introduction to Linked Lists,Elective,Linked Lists;Transformers;Embeddings;Arrays;Regression;RNN,PyTorch;Python,Python,Basic Math,Understand,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2024-2025,4,Advanced Classification,Elective,Classification;CNN;Indexing;EDA,Docker;Python;AWS,Python,Probability,Apply,3,No,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,8,Foundations of SQL,Core,SQL;Spark;Clustering,TensorFlow;AWS;Docker,Java,Basic Math,Create,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2023-2024,5,Foundations of Spark,Elective,Spark;Regression;Indexing;Clustering;Visualization;Deployment,PyTorch;Docker;Spark,Python,Discrete Math,Apply,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2020-2021,5,Applied EDA,Core,EDA;Visualization;Classification,PyTorch;HuggingFace,C++,Logic,Analyze,4,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2021-2022,3,Introduction to Classification,Elective,Classification;Embeddings;Linked Lists;Normalization;Arrays,OpenCV,Java,Basic Math,Create,3,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2021-2022,1,Introduction to Neural Networks,Elective,Neural Networks;Graphs;EDA,TensorFlow,Java,Discrete Math,Understand,6,No,job_reverse_mapping,True
IIT,DS,B.Tech,2023-2024,4,Introduction to Dynamic Programming,Core,Dynamic Programming;Tokenization;Neural Networks;Regression;Data Pipelines;Arrays,Java;Python;Scikit-learn,Python,Discrete Math,Understand,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2020-2021,3,Foundations of Transformers,Elective,Transformers;Regression;Classification;Linked Lists;Image Processing;EDA,NLTK;C++,Python,Probability,Create,3,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,1,Foundations of Deployment,Core,Deployment;SQL;Classification,TensorFlow,Java,Discrete Math,Understand,4,No,job_reverse_mapping,True
